n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
165,-186.1961,[9.1870 -9.2654 ],[0.0117 -0.0123 ],0.0169,[-1.5115 1.5837 ],2.1893,0.0077,127,0.0001
166,-186.2329,[9.1987 -9.2777 ],[0.0121 -0.0115 ],0.0167,[-1.5586 1.4888 ],2.1554,0.0077,127,0.0001
167,-186.2686,[9.2107 -9.2892 ],[0.0114 -0.0119 ],0.0164,[-1.4663 1.5338 ],2.1220,0.0077,127,0.0001
168,-186.3032,[9.2221 -9.3011 ],[0.0117 -0.0112 ],0.0162,[-1.5094 1.4443 ],2.0891,0.0077,127,0.0001
169,-186.3367,[9.2338 -9.3123 ],[0.0110 -0.0115 ],0.0159,[-1.4225 1.4855 ],2.0567,0.0077,127,0.0001
170,-186.3691,[9.2448 -9.3238 ],[0.0113 -0.0108 ],0.0157,[-1.4619 1.4010 ],2.0249,0.0077,127,0.0001
171,-186.4006,[9.2561 -9.3346 ],[0.0107 -0.0111 ],0.0154,[-1.3799 1.4387 ],1.9935,0.0077,127,0.0001
172,-186.4311,[9.2668 -9.3457 ],[0.0110 -0.0105 ],0.0152,[-1.4159 1.3591 ],1.9626,0.0077,127,0.0001
173,-186.4607,[9.2777 -9.3563 ],[0.0104 -0.0108 ],0.0150,[-1.3386 1.3935 ],1.9322,0.0077,127,0.0001
174,-186.4894,[9.2881 -9.3670 ],[0.0106 -0.0102 ],0.0147,[-1.3714 1.3183 ],1.9023,0.0077,127,0.0001
175,-186.5172,[9.2987 -9.3773 ],[0.0101 -0.0104 ],0.0145,[-1.2984 1.3497 ],1.8728,0.0077,127,0.0001
176,-186.5441,[9.3088 -9.3877 ],[0.0103 -0.0099 ],0.0143,[-1.3283 1.2788 ],1.8438,0.0077,127,0.0001
177,-186.5702,[9.3190 -9.3976 ],[0.0097 -0.0101 ],0.0141,[-1.2594 1.3073 ],1.8153,0.0077,127,0.0001
178,-186.5955,[9.3288 -9.4077 ],[0.0100 -0.0096 ],0.0138,[-1.2866 1.2404 ],1.7871,0.0077,127,0.0001
179,-186.6200,[9.3388 -9.4173 ],[0.0095 -0.0098 ],0.0136,[-1.2216 1.2663 ],1.7595,0.0077,127,0.0001
180,-186.6438,[9.3482 -9.4271 ],[0.0096 -0.0093 ],0.0134,[-1.2463 1.2031 ],1.7322,0.0077,127,0.0001
181,-186.6668,[9.3579 -9.4364 ],[0.0092 -0.0095 ],0.0132,[-1.1848 1.2266 ],1.7054,0.0077,127,0.0001
182,-186.6892,[9.3670 -9.4459 ],[0.0093 -0.0090 ],0.0130,[-1.2072 1.1669 ],1.6790,0.0077,127,0.0001
183,-186.7108,[9.3764 -9.4550 ],[0.0089 -0.0092 ],0.0128,[-1.1492 1.1881 ],1.6530,0.0077,127,0.0001
184,-186.7318,[9.3853 -9.4642 ],[0.0091 -0.0088 ],0.0126,[-1.1694 1.1317 ],1.6274,0.0077,127,0.0001
185,-186.7521,[9.3943 -9.4729 ],[0.0086 -0.0089 ],0.0124,[-1.1146 1.1509 ],1.6022,0.0077,127,0.0001
186,-186.7719,[9.4030 -9.4818 ],[0.0088 -0.0085 ],0.0122,[-1.1328 1.0976 ],1.5773,0.0077,127,0.0001
187,-186.7910,[9.4117 -9.4903 ],[0.0084 -0.0086 ],0.0120,[-1.0810 1.1149 ],1.5529,0.0077,127,0.0001
188,-186.8095,[9.4201 -9.4990 ],[0.0085 -0.0082 ],0.0118,[-1.0974 1.0645 ],1.5289,0.0077,127,0.0001
189,-186.8274,[9.4286 -9.5072 ],[0.0081 -0.0084 ],0.0117,[-1.0483 1.0801 ],1.5052,0.0077,127,0.0001
190,-186.8448,[9.4367 -9.5156 ],[0.0082 -0.0080 ],0.0115,[-1.0631 1.0324 ],1.4819,0.0077,127,0.0001
191,-186.8617,[9.4449 -9.5236 ],[0.0079 -0.0081 ],0.0113,[-1.0167 1.0463 ],1.4589,0.0077,127,0.0001
