n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
156,-187.2469,[9.6913 -9.7676 ],[1.0672 -1.0709 ],1.5118,[-0.2370 0.8452 ],0.8778,0.0077,127,0.0001
157,-187.2558,[9.6995 -9.7759 ],[0.2241 -0.8251 ],0.8549,[-0.2241 0.8251 ],0.8549,0.0077,127,0.0001
158,-187.2600,[9.7013 -9.7823 ],[1.0220 -1.0185 ],1.4429,[-0.8068 0.2261 ],0.8379,0.0077,127,0.0001
159,-187.2681,[9.7092 -9.7902 ],[0.7876 -0.2137 ],0.8161,[-0.7876 0.2137 ],0.8161,0.0077,127,0.0001
160,-187.2719,[9.7153 -9.7918 ],[0.9721 -0.9754 ],1.3771,[-0.2156 0.7702 ],0.7998,0.0077,127,0.0001
161,-187.2792,[9.7228 -9.7994 ],[0.2038 -0.7518 ],0.7789,[-0.2038 0.7518 ],0.7789,0.0077,127,0.0001
162,-187.2828,[9.7244 -9.8052 ],[0.9310 -0.9278 ],1.3143,[-0.7352 0.2057 ],0.7634,0.0077,127,0.0001
163,-187.2894,[9.7316 -9.8124 ],[0.7176 -0.1944 ],0.7435,[-0.7176 0.1944 ],0.7435,0.0077,127,0.0001
164,-187.2927,[9.7371 -9.8139 ],[0.8855 -0.8885 ],1.2544,[-0.1962 0.7018 ],0.7287,0.0077,127,0.0001
165,-187.2987,[9.7440 -9.8208 ],[0.1854 -0.6850 ],0.7097,[-0.1854 0.6850 ],0.7097,0.0077,127,0.0001
166,-187.3017,[9.7454 -9.8261 ],[0.8480 -0.8451 ],1.1972,[-0.6699 0.1871 ],0.6955,0.0077,127,0.0001
167,-187.3072,[9.7520 -9.8326 ],[0.6539 -0.1769 ],0.6774,[-0.6539 0.1769 ],0.6774,0.0077,127,0.0001
168,-187.3099,[9.7571 -9.8340 ],[0.8065 -0.8093 ],1.1426,[-0.1785 0.6394 ],0.6639,0.0077,127,0.0001
169,-187.3149,[9.7633 -9.8402 ],[0.1687 -0.6242 ],0.6466,[-0.1687 0.6242 ],0.6466,0.0077,127,0.0001
170,-187.3173,[9.7646 -9.8451 ],[0.7724 -0.7698 ],1.0905,[-0.6104 0.1703 ],0.6337,0.0077,127,0.0001
171,-187.3219,[9.7706 -9.8510 ],[0.5958 -0.1609 ],0.6172,[-0.5958 0.1609 ],0.6172,0.0077,127,0.0001
172,-187.3241,[9.7752 -9.8523 ],[0.7347 -0.7372 ],1.0408,[-0.1624 0.5826 ],0.6049,0.0077,127,0.0001
173,-187.3283,[9.7809 -9.8580 ],[0.1535 -0.5687 ],0.5891,[-0.1535 0.5687 ],0.5891,0.0077,127,0.0001
174,-187.3303,[9.7821 -9.8624 ],[0.7036 -0.7012 ],0.9933,[-0.5562 0.1549 ],0.5773,0.0077,127,0.0001
175,-187.3342,[9.7875 -9.8678 ],[0.5429 -0.1464 ],0.5623,[-0.5429 0.1464 ],0.5623,0.0077,127,0.0001
176,-187.3360,[9.7917 -9.8690 ],[0.6692 -0.6715 ],0.9480,[-0.1478 0.5309 ],0.5511,0.0077,127,0.0001
177,-187.3395,[9.7969 -9.8742 ],[0.1397 -0.5182 ],0.5367,[-0.1397 0.5182 ],0.5367,0.0077,127,0.0001
178,-187.3411,[9.7980 -9.8782 ],[0.6409 -0.6387 ],0.9048,[-0.5067 0.1410 ],0.5260,0.0077,127,0.0001
179,-187.3443,[9.8029 -9.8831 ],[0.4947 -0.1332 ],0.5123,[-0.4947 0.1332 ],0.5123,0.0077,127,0.0001
180,-187.3458,[9.8068 -9.8841 ],[0.6096 -0.6117 ],0.8635,[-0.1345 0.4837 ],0.5020,0.0077,127,0.0001
181,-187.3487,[9.8115 -9.8889 ],[0.1271 -0.4722 ],0.4890,[-0.1271 0.4722 ],0.4890,0.0077,127,0.0001
182,-187.3501,[9.8125 -9.8925 ],[0.5838 -0.5818 ],0.8242,[-0.4617 0.1283 ],0.4792,0.0077,127,0.0001
183,-187.3527,[9.8170 -9.8970 ],[0.4507 -0.1212 ],0.4667,[-0.4507 0.1212 ],0.4667,0.0077,127,0.0001
184,-187.3540,[9.8205 -9.8980 ],[0.5552 -0.5572 ],0.7866,[-0.1224 0.4407 ],0.4574,0.0077,127,0.0001
185,-187.3564,[9.8248 -9.9023 ],[0.1157 -0.4302 ],0.4455,[-0.1157 0.4302 ],0.4455,0.0077,127,0.0001
186,-187.3575,[9.8257 -9.9056 ],[0.5318 -0.5299 ],0.7507,[-0.4207 0.1167 ],0.4366,0.0077,127,0.0001
187,-187.3597,[9.8298 -9.9097 ],[0.4106 -0.1103 ],0.4252,[-0.4106 0.1103 ],0.4252,0.0077,127,0.0001
188,-187.3607,[9.8330 -9.9106 ],[0.5057 -0.5075 ],0.7165,[-0.1114 0.4015 ],0.4167,0.0077,127,0.0001
189,-187.3627,[9.8369 -9.9145 ],[0.1053 -0.3920 ],0.4059,[-0.1053 0.3920 ],0.4059,0.0077,127,0.0001
190,-187.3637,[9.8377 -9.9175 ],[0.4844 -0.4827 ],0.6838,[-0.3833 0.1062 ],0.3977,0.0077,127,0.0001
191,-187.3655,[9.8415 -9.9213 ],[0.3741 -0.1004 ],0.3874,[-0.3741 0.1004 ],0.3874,0.0077,127,0.0001
